id,algo,strategy,run_id,start_mode,best_fitness,final_cash,test_final_cash,epoch_count,runtime_ms,early_stopped,best_params,hyperparams
0,pso,sma,7,fixed,-807.599450435361,807.599450435361,1055.2952186726,51,5635.22961000126,False,"{""short_window"": 7.915071207493874, ""long_window"": 153.21630048576702}","{""pop_size"": 100, ""max_iter"": 50, ""w_max"": 0.9, ""w_min"": 0.4, ""c1"": 2, ""c2"": 2}"
1,pso,sma,4,fixed,-821.963946782728,821.963946782728,617.367879785237,51,5663.76724600013,False,"{""short_window"": 22.201976566910293, ""long_window"": 60.69168935547207}","{""pop_size"": 100, ""max_iter"": 50, ""w_max"": 0.9, ""w_min"": 0.4, ""c1"": 2, ""c2"": 2}"
2,pso,sma,3,fixed,-931.175318631482,931.175318631482,1153.51007806138,51,5824.43412499924,False,"{""short_window"": 46.84114988936278, ""long_window"": 200.0}","{""pop_size"": 100, ""max_iter"": 50, ""w_max"": 0.9, ""w_min"": 0.4, ""c1"": 2, ""c2"": 2}"
3,pso,sma,1,fixed,-932.49722762536,932.49722762536,1180.27572148885,51,5843.03375499985,False,"{""short_window"": 49.15522134691566, ""long_window"": 196.7548513415701}","{""pop_size"": 100, ""max_iter"": 50, ""w_max"": 0.9, ""w_min"": 0.4, ""c1"": 2, ""c2"": 2}"
4,pso,sma,5,fixed,-932.49722762536,932.49722762536,1180.27572148885,51,5843.30047000003,False,"{""short_window"": 48.77121524746005, ""long_window"": 197.4221165361696}","{""pop_size"": 100, ""max_iter"": 50, ""w_max"": 0.9, ""w_min"": 0.4, ""c1"": 2, ""c2"": 2}"
5,pso,sma,6,fixed,-931.175318631482,931.175318631482,1153.51007806138,51,5844.63444199901,False,"{""short_window"": 46.58079209107185, ""long_window"": 200.0}","{""pop_size"": 100, ""max_iter"": 50, ""w_max"": 0.9, ""w_min"": 0.4, ""c1"": 2, ""c2"": 2}"
6,pso,sma,8,fixed,-932.49722762536,932.49722762536,1180.27572148885,51,5842.75771400098,False,"{""short_window"": 49.4309169467408, ""long_window"": 197.01761797121986}","{""pop_size"": 100, ""max_iter"": 50, ""w_max"": 0.9, ""w_min"": 0.4, ""c1"": 2, ""c2"": 2}"
7,pso,sma,0,fixed,-932.49722762536,932.49722762536,1180.27572148885,51,5855.86849399988,False,"{""short_window"": 49.216818289797345, ""long_window"": 197.26360398911007}","{""pop_size"": 100, ""max_iter"": 50, ""w_max"": 0.9, ""w_min"": 0.4, ""c1"": 2, ""c2"": 2}"
8,pso,sma,2,fixed,-932.49722762536,932.49722762536,1180.27572148885,51,5863.811919,False,"{""short_window"": 49.09735602518557, ""long_window"": 197.21388208487784}","{""pop_size"": 100, ""max_iter"": 50, ""w_max"": 0.9, ""w_min"": 0.4, ""c1"": 2, ""c2"": 2}"
9,pso,sma,10,fixed,-932.49722762536,932.49722762536,1180.27572148885,51,5849.8423559995,False,"{""short_window"": 48.91814647020021, ""long_window"": 197.3078815710147}","{""pop_size"": 100, ""max_iter"": 50, ""w_max"": 0.9, ""w_min"": 0.4, ""c1"": 2, ""c2"": 2}"
10,pso,sma,9,fixed,-932.49722762536,932.49722762536,1180.27572148885,51,5855.45783899943,False,"{""short_window"": 48.74927243446371, ""long_window"": 197.26271692916555}","{""pop_size"": 100, ""max_iter"": 50, ""w_max"": 0.9, ""w_min"": 0.4, ""c1"": 2, ""c2"": 2}"
11,pso,sma,11,fixed,-932.49722762536,932.49722762536,1180.27572148885,51,5856.13032299989,False,"{""short_window"": 48.68516898325283, ""long_window"": 196.91278030309772}","{""pop_size"": 100, ""max_iter"": 50, ""w_max"": 0.9, ""w_min"": 0.4, ""c1"": 2, ""c2"": 2}"
12,pso,sma,12,fixed,-931.175318631482,931.175318631482,1153.51007806138,51,5865.82087699935,False,"{""short_window"": 46.99149240357204, ""long_window"": 200.0}","{""pop_size"": 100, ""max_iter"": 50, ""w_max"": 0.9, ""w_min"": 0.4, ""c1"": 2, ""c2"": 2}"
13,pso,sma,18,fixed,-807.599450435361,807.599450435361,1055.2952186726,51,5663.07005399904,False,"{""short_window"": 7.900806455891628, ""long_window"": 152.6402893948408}","{""pop_size"": 100, ""max_iter"": 50, ""w_max"": 0.9, ""w_min"": 0.4, ""c1"": 2, ""c2"": 2}"
14,pso,sma,13,fixed,-932.49722762536,932.49722762536,1180.27572148885,51,5873.99143999937,False,"{""short_window"": 49.45024686514194, ""long_window"": 196.88045808585497}","{""pop_size"": 100, ""max_iter"": 50, ""w_max"": 0.9, ""w_min"": 0.4, ""c1"": 2, ""c2"": 2}"
15,pso,sma,23,fixed,-821.963946782728,821.963946782728,617.367879785237,51,5685.02357699981,False,"{""short_window"": 22.092675339476717, ""long_window"": 61.28459633412269}","{""pop_size"": 100, ""max_iter"": 50, ""w_max"": 0.9, ""w_min"": 0.4, ""c1"": 2, ""c2"": 2}"
16,pso,sma,14,fixed,-931.175318631482,931.175318631482,1153.51007806138,51,5854.59765499945,False,"{""short_window"": 46.84651888218603, ""long_window"": 200.0}","{""pop_size"": 100, ""max_iter"": 50, ""w_max"": 0.9, ""w_min"": 0.4, ""c1"": 2, ""c2"": 2}"
17,pso,sma,15,fixed,-932.49722762536,932.49722762536,1180.27572148885,51,5854.37810999974,False,"{""short_window"": 49.41005355757099, ""long_window"": 196.54284969935844}","{""pop_size"": 100, ""max_iter"": 50, ""w_max"": 0.9, ""w_min"": 0.4, ""c1"": 2, ""c2"": 2}"
18,pso,sma,17,fixed,-932.49722762536,932.49722762536,1180.27572148885,51,5859.67904099925,False,"{""short_window"": 48.75856860392879, ""long_window"": 196.73894981641328}","{""pop_size"": 100, ""max_iter"": 50, ""w_max"": 0.9, ""w_min"": 0.4, ""c1"": 2, ""c2"": 2}"
19,pso,sma,16,fixed,-932.49722762536,932.49722762536,1180.27572148885,51,5870.45814700105,False,"{""short_window"": 48.98233045919571, ""long_window"": 196.92407019514252}","{""pop_size"": 100, ""max_iter"": 50, ""w_max"": 0.9, ""w_min"": 0.4, ""c1"": 2, ""c2"": 2}"
20,pso,sma,21,fixed,-932.49722762536,932.49722762536,1180.27572148885,51,5876.06690599932,False,"{""short_window"": 48.573325413522326, ""long_window"": 196.74796615069255}","{""pop_size"": 100, ""max_iter"": 50, ""w_max"": 0.9, ""w_min"": 0.4, ""c1"": 2, ""c2"": 2}"
