,,final_cash,final_cash,final_cash,final_cash,final_cash,final_cash,test_final_cash,test_final_cash,test_final_cash,test_final_cash,test_final_cash,test_final_cash
,,mean,median,std,cv,min,max,mean,median,std,cv,min,max
strategy,algo,,,,,,,,,,,,
ema_independent,abo,10317.896641215631,9991.589060545459,1066.8366827138066,0.10339672123214001,8779.938889300765,12880.156558921462,1482.449761095929,1202.4195265700396,994.6911156647593,0.670977959434804,858.1458103927537,4360.90378608435
ema_independent,aos,7705.877321081907,7832.51411000672,1183.4327987209217,0.15357534897204508,5678.182364270253,10581.45165659068,4271.851090859823,4425.390778664356,1401.7027154057612,0.32812536897760425,977.9262349103064,7478.455513624438
ema_independent,gps,4915.222669561948,4940.993702849277,4024.844369324253,0.8188529065526451,301.8972308468851,11212.022973883186,2328.667012280384,1588.7568260410949,1619.2725753554123,0.6953645870431746,509.7981351975294,5684.316408278224
ema_independent,mrfo,1000.0,1000.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,1000.0,1000.0
ema_independent,pso,12290.963687869047,11840.345245929808,1217.0846583621217,0.09902272020894193,10401.387592606208,15303.773498920384,3219.787102573887,4296.969661700098,1460.6490707477217,0.4536477177575137,1201.229657341272,4565.800758620476
ema_independent,sos,12918.128816061257,12938.121796828811,1140.3295545258607,0.08827358596301316,11840.345245929808,15607.472863639998,3805.266377138941,4296.969661700098,1285.2927002700324,0.3377668139060485,1206.8092794235097,4834.211385628879
ema_shared,abo,82168.47322919771,78174.95600766392,21848.89359501251,0.26590360921113887,31561.6440796586,123641.78504970008,1815.8120254563103,1157.6008979904927,1391.7396642174042,0.7664558030821846,633.3264513880566,6138.875680918569
ema_shared,aos,56606.67903866391,49801.94666730005,21890.650414949465,0.38671497404038757,29400.243773157224,109032.20385306678,1894.0324626323782,1137.1209577740278,1269.023825626586,0.6700116553772589,603.2835137919964,4377.150362758712
ema_shared,gps,12375.956671535583,10163.254255817672,10185.346815456669,0.8229947054422657,442.9366837428048,39184.8200445128,1831.8888298777467,1000.0,1465.627417692911,0.8000635157487812,462.49159609116543,4584.5950966863165
ema_shared,mrfo,67903.4122654946,63342.252922719024,22442.712669627406,0.33050935027946693,40486.22498529817,171987.5764071253,1606.1014516952778,1000.0,1366.8988188247215,0.8510662993187186,484.1837275596408,5660.26318654683
ema_shared,pso,94238.92052179998,93613.79222191044,31989.411687607026,0.3394501073492987,47146.87565240198,188575.414633319,2468.1414991078577,1000.0,2176.0317623143173,0.8816478970516367,824.6248869249367,10074.63910186239
ema_shared,sos,104039.94060775521,104256.01790773237,25828.92358040196,0.2482596917060971,61937.17135161435,175857.23739090408,2237.5682950094406,1862.0257153517382,1698.3336336434143,0.7590086244211147,617.0044022473029,7142.090134486861
lma,abo,801.5040869449979,800.1090056683662,16.21846713286465,0.020235039842008452,776.2629746102921,818.9286330135228,683.1384157964908,671.5093147805297,187.40512146767014,0.274329648478587,487.7403120635784,907.977723746608
lma,aos,804.5581938876371,809.9167300757789,16.17748588388121,0.020107291190101947,767.3220477460555,818.9286330135228,794.0966083753719,907.977723746608,176.2895037585858,0.22200007140095124,485.4055501055094,921.2818413849322
lma,gps,442.48945007318486,447.1075084059895,131.68922564774405,0.29760986533343,112.81085456065098,768.2638626195675,879.1397301632903,942.9759613395876,221.1375141807648,0.2515385286246716,378.9697431285511,1228.538781835287
lma,mrfo,809.6815519246484,818.9286330135228,13.08307146126414,0.01615829264006956,772.3781322020866,818.9286330135228,749.9326631825062,907.977723746608,200.35113713403427,0.2671588356797257,487.7403120635784,907.977723746608
lma,pso,794.0174242660304,800.1090056683662,14.014978863369132,0.017650719537199336,772.3781322020866,818.9286330135228,587.2506435473581,487.7403120635784,135.88144411565517,0.23138577302333288,487.7403120635784,907.977723746608
lma,sos,818.9286330135229,818.9286330135228,0.0,2.8239418818739695e-16,818.9286330135228,818.9286330135228,907.977723746608,907.977723746608,0.0,0.0,907.977723746608,907.977723746608
sma,abo,932.100654927197,932.4972276253604,0.6161306776138132,0.0006610130293942785,931.175318631482,932.4972276253604,1172.24602846061,1180.275721488851,12.475241562093267,0.010642170038721087,1153.510078061381,1180.275721488851
sma,aos,932.100654927197,932.4972276253604,0.6161306776138479,0.0006610130293942785,931.175318631482,932.4972276253604,1172.24602846061,1180.275721488851,12.475241562093291,0.010642170038721087,1153.510078061381,1180.275721488851
sma,gps,549.2591545553537,560.9372970048241,110.73166941016225,0.20160186405960548,370.498783927393,917.96655088108,1154.9954862964785,1104.154369472404,216.36624887889602,0.18733081769235282,725.7645287439333,1740.1288815329667
