,,runtime_ms,runtime_ms,runtime_ms,runtime_ms,runtime_ms,runtime_ms,epoch_count,epoch_count,epoch_count,epoch_count,epoch_count,epoch_count
,,mean,median,std,cv,min,max,mean,median,std,cv,min,max
strategy,algo,,,,,,,,,,,,
ema_independent,abo,6281.424954833406,6292.02900349992,119.14809986752176,0.018968323385896716,5948.522140000932,6605.175978000261,51.0,51.0,0.0,0.0,51,51
ema_independent,aos,7140.310452700153,7138.694513500923,65.5789107488798,0.009184322052002768,6978.012451001632,7267.631975000768,50.96666666666667,51.0,0.18257418583505589,0.003582227321812728,50,51
ema_independent,gps,203.4945178663596,204.57739700032107,12.611049983797157,0.061972431080817465,174.35489499985124,229.7117589987465,24.933333333333334,24.5,3.6665621719697525,0.14705463256563173,19,32
ema_independent,mrfo,17417.545914999693,17425.90389650013,115.20013579572179,0.00661402796685117,17152.305743999023,17669.882963999044,50.0,50.0,0.0,0.0,50,50
ema_independent,pso,6010.1372978000645,6011.291485500806,60.52135179415725,0.010069878406323677,5885.821431000295,6131.025673001204,51.0,51.0,0.0,0.0,51,51
ema_independent,sos,23807.476531566743,23849.486768000133,197.8979604665702,0.00831242908941538,23405.19770500032,24158.51140400082,50.0,50.0,0.0,0.0,50,50
ema_shared,abo,6408.01383413321,6384.832939000262,104.24031315935875,0.01626717979354349,6167.686828001024,6575.212140000076,51.0,51.0,0.0,0.0,51,51
ema_shared,aos,6069.213745466733,6067.885460499383,63.69010840110887,0.010493963645403127,5959.050960000241,6179.368426999645,50.93333333333333,51.0,0.2537081317024631,0.004981180596252536,50,51
ema_shared,gps,142.60848479995425,137.9233204997945,15.047004177446015,0.10551268529746584,120.3935220000858,188.23995099955937,22.766666666666666,22.5,3.2129407877748277,0.14112477837956783,18,35
ema_shared,mrfo,17878.39138723345,17881.25873450008,109.81310937387221,0.006142225382328723,17643.72171099967,18035.717080001632,50.0,50.0,0.0,0.0,50,50
ema_shared,pso,6058.85068243321,6061.009809999632,60.30460248523877,0.00995314221228186,5949.037841999598,6188.530575000186,50.96666666666667,51.0,0.18257418583505602,0.003582227321812728,50,51
ema_shared,sos,23995.634407466667,23996.70226250055,170.88931981456582,0.007121683757666819,23702.087390000088,24431.3689039991,50.0,50.0,0.0,0.0,50,50
lma,abo,6187.20093510007,6192.21527100035,86.6249553526468,0.014000669488721838,5967.785789000118,6373.964377000448,51.0,51.0,0.0,0.0,51,51
lma,aos,5880.059795166865,5879.264017999958,21.798284964516707,0.0037071536215386278,5844.724434000455,5929.038624999521,51.0,51.0,0.0,0.0,51,51
lma,gps,83.88026556646462,83.10002550024365,3.323712362600398,0.03962448545142923,79.53672199982975,90.14376499908394,19.333333333333332,19.0,1.446358884574815,0.07481166644352497,17,23
lma,mrfo,17400.275360533247,17410.24279999965,145.44967859391303,0.008359044646144995,17171.75207299988,17608.609801998682,50.0,50.0,0.0,0.0,50,50
lma,pso,5743.364175833207,5731.181751501026,45.01835248172981,0.007838324560918018,5684.018936000939,5844.607519999045,51.0,51.0,0.0,0.0,51,51
lma,sos,23265.90321190003,23273.322696500145,93.0250631435418,0.003998343081559827,23118.086671998757,23457.53685999989,50.0,50.0,0.0,0.0,50,50
sma,abo,6247.228910600218,6251.89983150085,64.59092028403329,0.010339131350611524,6114.364103999833,6353.072391999376,51.0,51.0,0.0,0.0,51,51
sma,aos,5840.733204866593,5839.180186999329,14.037661751435948,0.002403407459142226,5814.827123000214,5867.016518999662,51.0,51.0,0.0,0.0,51,51
sma,gps,82.48286536672822,81.61018800092279,4.255212258927886,0.05158904507025463,77.29082100013329,96.67419000106749,19.4,19.0,2.0103182112155347,0.10362465006265643,17,28
sma,mrfo,17530.27904426666,17520.109382499868,60.90935215985241,0.003474522681929123,17425.01831899972,17617.044894001083,50.0,50.0,0.0,0.0,50,50
sma,pso,5827.134777399745,5847.899996999331,68.54946083284595,0.011763836508246162,5635.229610001261,5885.136240000065,51.0,51.0,0.0,0.0,51,51
sma,sos,23419.333406900172,23427.69176100046,100.94844549135252,0.004310474757646569,23259.58695400004,23592.46574999997,50.0,50.0,0.0,0.0,50,50
weighted,abo,7098.579097133249,7092.985367999972,146.1231392285531,0.020584843421349613,6685.14329899881,7393.493000001399,51.0,51.0,0.0,0.0,51,51
weighted,aos,6994.358023966561,6981.863531000272,59.74334347123136,0.008541647891989107,6904.519310000978,7144.458120999843,51.0,51.0,0.0,0.0,51,51
weighted,gps,812.1563368335046,819.0301090007779,108.27887374079577,0.1333226976507522,554.8277550005878,1059.0645829997811,33.666666666666664,32.5,8.380327264341844,0.24892061181213404,21,51
weighted,mrfo,20725.82890533322,20714.830777000316,294.0518249272423,0.014187699139578248,20043.5218599996,21357.13400199893,50.0,50.0,0.0,0.0,50,50
weighted,pso,6781.955828366578,6781.8583039997975,82.36361444443696,0.012144522395728165,6637.9787610003405,6955.931208998663,51.0,51.0,0.0,0.0,51,51
weighted,sos,25248.18385223316,25183.335651498965,331.7753740573247,0.013140563931214388,24732.00751299919,26095.64864599997,50.0,50.0,0.0,0.0,50,50
