,,final_cash,final_cash,final_cash,final_cash,final_cash,final_cash,test_final_cash,test_final_cash,test_final_cash,test_final_cash,test_final_cash,test_final_cash
,,mean,median,std,cv,min,max,mean,median,std,cv,min,max
strategy,algo,,,,,,,,,,,,
ema_independent,abo,10584.6221985097,10623.588973421221,1694.2888403297886,0.16007079029881122,5967.635840059415,13212.532211847978,1571.5478749888111,1274.4731052607813,1116.9578627379726,0.7107374076948979,858.1458103927537,4296.969661700098
ema_independent,aos,7597.149159825594,7579.218699005478,1194.9966099699843,0.15729539921227736,5775.187190177246,10023.161865164891,4463.359436997766,4385.7031781329815,911.8197829836874,0.2042900187301549,1692.7017573370854,7041.99365353354
ema_independent,gps,4560.538614011904,3983.504834478739,3763.4207106123176,0.825214087443421,293.73606129569333,12939.69088495877,2659.1734636655233,2515.7993466006683,1639.7415993562377,0.6166358162644812,525.5158254685851,5138.805290080262
ema_independent,mrfo,1000.0,1000.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,1000.0,1000.0
ema_independent,pso,12207.431273746295,11840.345245929808,985.173005156765,0.08070272795846176,11075.521977639455,15303.773498920384,3321.9464757212754,4296.969661700098,1404.3073181718867,0.4227362868232178,1295.3110698455437,4296.969661700098
ema_independent,sos,12521.547488285722,12043.424345918638,779.0853343156334,0.06221957270413189,11840.345245929808,14974.916499352195,4148.739220156459,4296.969661700098,1006.4116213702873,0.24258252157201943,1206.8092794235097,5201.555741744289
ema_shared,abo,74415.83709727299,70136.9823669252,31210.114498059873,0.419401510692723,42715.708292331685,200371.41573305288,2408.182570446575,1060.5645570061433,2032.66572997079,0.8440662908684083,554.4727029085017,7795.072801485526
ema_shared,aos,54540.295676926464,50900.249889165105,19524.731154142493,0.35798726266169706,32799.07555885472,132228.76999255523,2559.524760407153,1708.7469813915586,1921.9902839521772,0.750916855223717,620.2610100126898,7860.381077771566
ema_shared,gps,12830.074342386539,9250.498390811472,10288.301093152262,0.8018894371611662,2731.983452710527,44225.34901241491,1819.9394348117378,1288.6999281534922,1350.6766600357482,0.7421547300970855,500.4902596190344,4584.5950966863165
ema_shared,mrfo,73282.1729731877,70114.02105269663,19888.069732327633,0.27139028395902276,47075.82639078372,130135.59700084868,1957.299567178126,1061.2830991592218,2195.3858740986893,1.1216401980121093,655.0084208099828,11973.202678436752
ema_shared,pso,83749.67826254373,80166.94021706935,22819.602797515876,0.27247391597111037,47253.31322697216,139488.12484165456,2125.6139441603013,1292.0367727220937,1431.4151740812395,0.6734125818160752,718.5620512570215,5401.9369779234
ema_shared,sos,103154.2865333101,98913.41628326711,25541.96902274286,0.2476093808713898,68570.62304871953,166099.7087601389,2145.6082175639535,1037.01314203285,1907.3690946649724,0.8889642941573607,601.4478919462988,7860.381077771566
lma,abo,805.6170106794095,810.6067670631069,15.81185994447373,0.019627018465187246,776.2629746102921,818.9286330135228,742.4950987473528,907.977723746608,190.04962205896317,0.2559607765486825,487.7403120635784,907.977723746608
lma,aos,809.4907177030278,817.548559038867,12.580155025640433,0.015540826782223358,775.8073108908243,818.9286330135228,804.3765010058304,907.977723746608,178.6373250366002,0.22208173015151939,485.4055501055094,907.977723746608
lma,gps,455.4489484892459,445.0306591663583,111.36697361763717,0.2445213102084191,181.75411652213637,720.2848663485934,939.1793719488135,949.2122108543849,209.77967302481392,0.22336486435974146,490.7082703569372,1373.4669858878826
lma,mrfo,811.3057651331738,818.9286330135228,11.051188323722942,0.013621483784117967,776.2629746102921,818.9286330135228,774.0242199428299,907.977723746608,195.37818434337964,0.25241869609430356,487.7403120635784,907.977723746608
lma,pso,798.17454827018,800.1090056683662,18.115137731143314,0.022695709566789356,772.3781322020866,818.9286330135228,684.6730580528654,671.5093147805297,176.2059747030216,0.25735783324691053,487.7403120635784,907.977723746608
lma,sos,818.9286330135229,818.9286330135228,0.0,2.8239418818739695e-16,818.9286330135228,818.9286330135228,907.977723746608,907.977723746608,0.0,0.0,907.977723746608,907.977723746608
sma,abo,932.003385972909,932.4972276253604,0.9217780796078682,0.0009890286810982358,928.2572500028456,932.4972276253604,1171.3601213613765,1180.275721488851,14.612252658701257,0.012474603149131104,1126.932865084372,1180.275721488851
sma,aos,931.968464027809,932.4972276253604,0.6586714003176286,0.0007067528846104772,931.175318631482,932.4972276253604,1169.569464117863,1180.275721488851,13.336594212170208,0.011402994538874342,1153.510078061381,1180.275721488851
sma,gps,549.0979050577943,585.1475718536125,129.41696624385415,0.23569014751610215,300.6498529366182,917.96655088108,1052.9715528267393,1029.0211944331168,254.29619165037823,0.24150338246813136,520.378741136685,1857.138603887892
